ID,Q1,Q2,Q3,Q4,Q5,Country
Japan_001,0.9786913136803079,0.849785047822924,0.6033382843370362,0.8701355901563685,0.7527208592272067,Japan
Japan_002,0.286435258802631,0.45640501706834097,0.29479911033855205,0.3542217541417719,0.37499214643014867,Japan
Japan_003,0.43133066892575866,0.6837787044494524,0.6153373117836515,0.4861863062988052,0.7253814921069927,Japan
Japan_004,0.3426464221476814,0.27049285170077286,0.38951256610450224,0.3878133487533042,0.38215810816374873,Japan
Japan_005,0.36886402541000907,0.3553917653537589,0.29380882894232785,0.26940373362600833,0.2619528998987617,Japan
Japan_006,0.7305293021079488,0.7792082721980401,0.6734603648431736,1,0.9207961998304991,Japan
Japan_007,0.48768914167966504,0.5597115164700923,0.5533344646376781,0.6779965118336317,0.5916630933528171,Japan
Japan_008,0.32533185139947546,0.2971453244651297,0.29571295427086836,0.4368602284014458,0.2774229014340732,Japan
Japan_009,0.7516470604429539,0.44512471957697786,0.6584613749636069,0.6123854243844613,0.6215941568743972,Japan
Japan_010,0.6379639482759882,0.5497676546890697,0.5666792616330579,0.4981424616892911,0.4928208773524422,Japan
Japan_011,0.3303528641404258,0.34482097786294263,0.3053004226730504,0.39222674678797376,0.5050084685627144,Japan
Japan_012,0.5508968833943464,0.36908311243591874,0.7005738524462256,0.5290799237417607,0.5311991383532642,Japan
Japan_013,0.7051142739393398,0.4430453985897982,0.25585645754909286,0.5362606959498301,0.47222172751219105,Japan
Japan_014,0.6005764185899887,0.638528040112633,0.5629339968207591,0.6644376548518833,0.577951343818125,Japan
Japan_015,0.8331781963915698,0.9096839013149348,0.8435181490833803,0.7674068414468773,0.9148807618451095,Japan
Japan_016,0.39935038559621194,0.354839695950807,0.3238731735111441,0.23720939239606284,0.43606524485300074,Japan
Japan_017,0.7399740412852873,1,0.953261062618519,0.7764299640899524,0.6973579099693219,Japan
Japan_018,0.72895934363007,0.825688370915653,0.7753308121537626,0.7652457400602267,0.7048381432734985,Japan
Japan_019,0.5954972275191079,0.5215095530542924,0.43320580634118633,0.5619773479712238,0.6918996609060766,Japan
Japan_020,0.2424653037391608,0.36079643222250335,0.13821172917108357,0.29444380344754606,0.3519407203943462,Japan
Japan_021,0.33011533621667144,0.3105676194148943,0.23592939916946234,0.21502956539664175,0.19758712093950864,Japan
Japan_022,0.5235293194200252,0.31050507716303954,0.40188851125986635,0.44878156156035054,0.8687724010464415,Japan
Japan_023,0.3696100196609083,0.5470773144569714,0.5155921699127421,0.30762867317397424,0.48573838277528025,Japan
Japan_024,0.44445508584233484,0.34515040530792146,0.30412329219929396,0.2577503167660375,0.09467527784594842,Japan
Japan_025,0.726267442682835,0.20787198581503558,0.6479895021754669,0.8818207138434967,0.2112213678056401,Japan
Japan_026,0.6403568670749422,0.4475605021195064,0.18557116817090247,0.19706646924364968,0.17969276528508127,Japan
Japan_027,0.5469093477829696,0.45382444150041,0.6687916772975827,0.8100108940525672,0.47129695239648206,Japan
Japan_028,0.6787738847475178,0.676904224100091,0.6332202578950118,0.4991623391722992,0.5880547393369341,Japan
Japan_029,0.7719604664829753,0.856298953322048,0.7627561243896172,0.8976973386685622,0.7625419142232986,Japan
Japan_030,0.9052711465579333,0.6950822993333935,0.6739844755241888,1,0.7583142411839568,Japan
Singapore_001,0.2873347732057618,0.752637035217898,0.43006992240928904,0.32689742746932515,0.4527440862117807,Singapore
Singapore_002,0.7802824105651448,0.9109920289713641,0.8084737292197197,0.8754053785184522,0.750070798282774,Singapore
Singapore_003,0.5428890619163202,0.4350628177018331,0.5189167056347143,0.3209273284044917,0.23783969333440563,Singapore
Singapore_004,0.49972133847479666,0.3600708823672418,0.17487286383750558,0.2388834083319579,0.18145199154026895,Singapore
Singapore_005,0.8198810348883719,0.731241297643351,0.5734854943303647,0.6543194059232089,0.5585660052081141,Singapore
Singapore_006,0.5523753105384421,0.5211397162149757,0.5405382732540489,0.765090746733669,0.594597187491456,Singapore
Singapore_007,0.5238490472855168,0.5487374859198184,0.7464951756970676,0.39678723381104397,0.3014985699215925,Singapore
Singapore_008,0.835139386480638,0.41176735661894287,0.35538680601202527,0.25274537622334137,0.24305685553644069,Singapore
Singapore_009,0.3852053041404026,0.6235971634333057,0.7219696277859436,0.6415176707671176,0.4272685405809495,Singapore
Singapore_010,0.30597499373846004,0.229540353631993,0.22827818384259896,0.388465049897692,0.19844074213964558,Singapore
Singapore_011,0.7955293965492464,0.5909680406034148,0.6214538826629216,0.5261472295260426,0.542561131023673,Singapore
Singapore_012,0.6682983867694758,0.7817074611627273,0.8418982404924464,0.8324304344161381,0.7218463512945249,Singapore
Singapore_013,0.5211378029145999,0.5497801281657139,0.74960606698463506,0.4862696379334255,0.5820948405619801,Singapore
Singapore_014,0.9902361821678928,0.7899025114671192,0.6640159296178607,0.7335230564725939,0.8485459978904879,Singapore
Singapore_015,0.5624397128330226,0.5438123636450217,0.5656082765871541,0.6090496647139221,0.7598508771145825,Singapore
Singapore_016,0.5911434887861116,0.7080799496151517,0.6630754115650567,0.588636010449386,0.44670979971094016,Singapore
Singapore_017,0.24788826824474797,0.2510129546861526,0.3047154432761527,0.43001986776668205,0.5293078973831093,Singapore
Singapore_018,0.7547581058983769,0.5866849035671056,0.4243472604442362,0.5611220135928257,0.6089207223073294,Singapore
Singapore_019,0.8845013004067437,0.8962527968484272,0.8684309429416465,0.6604725650200532,0.8849643045633355,Singapore
Singapore_020,0.41068855671455556,0.5349605400322511,0.5149102354347469,0.5856333529941011,0.504934996565228,Singapore
Singapore_021,0.6332524902414337,0.8736495964773443,0.8386026568349676,0.7734348374721778,0.8118144511046681,Singapore
Singapore_022,0.3134038645368463,0.3221019468561002,0.4640846165977486,0.2780949621066524,0.31680653838846573,Singapore
Singapore_023,0.7168383873069093,0.7054181023376919,0.7145263110380358,0.5422531998940443,0.8002482730292829,Singapore
Singapore_024,0.8066700870930184,0.9866851844706863,0.6649097313969289,0.8020983586354238,0.9249914570969217,Singapore
Singapore_025,0.3569515625554407,0.3494622063564516,0.31229225927862125,0.2894973441322527,0.4125680933639202,Singapore
Singapore_026,0.3331179172958982,0.09857895020792798,0.3211980433372292,0.42366750464165703,0.5037574018240435,Singapore
Singapore_027,0.7602351984401174,0.6513549527591923,0.15465392017713397,0.3796986583986436,0.4295907086834766,Singapore
Singapore_028,0.6703523902756894,0.5894328665996226,0.4741351371939828,0.7684435708094115,0.6911391291795963,Singapore
Singapore_029,0.6237430272491026,0.7218108610325811,0.4661225712765027,0.66608202977898,0.5477087623686578,Singapore
Singapore_030,0.36837455218507126,0.2939178045339926,0.36329607130314506,0.4335517615059392,0.30072900903168986,Singapore
